,group_name,n_user_recommend,n_user_timeline,posts_per_day,n_members,group_slug
1,The Far Side,530,60,158000.0,1100000.0,1745254632988727
2,"DIY,Ideas,Projects,Crafts and more",268,0,270.0,583000.0,diycrafters
3,The Dodo,246,0,250.0,74000.0,1465656230308941
4,The Marriage Club,245,2,20000.0,929000.0,themarriage
5,Field and Barn Finds-Classic Cars/Trucks For Sale or Trade,232,1,2600.0,421000.0,fieldandbarnfinds
6,Weird Secondhand Finds That Just Need To Be Shared,221,15,6600.0,2000000.0,WeirdSecondhandFinds
7,Instant Pot® Community,215,9,5100.0,2800000.0,InstantPotCommunity
8,Doggy Memes & Videos,212,2,13000.0,627000.0,298677437407106
9,Air Fryer Tips and Recipes,200,3,1200.0,1000000.0,1522233111383384
10,1970s ✌ doyouremember.com,195,29,42000.0,804000.0,DoYouRememberThe70sFanClub
11,Good Ole Soul Food Recipes,187,13,26000.0,1300000.0,goodolesoulfoodrecipes
12,Disapproving Corgis,162,5,2800.0,1000000.0,555989291132852
13,Dad Jokes Everywhere,162,10,39000.0,755000.0,1270525996445602
14,80s/90s/ Early 2000s Nostalgia Haven,141,26,62000.0,849000.0,havenfornostalgia
15,Cheap Meal Ideas,135,10,47000.0,1300000.0,cheapmealideas
16,Kayleigh McEnany Fan Club,135,5,22000.0,432000.0,276509750213182
17,Cast Iron Cooking,131,0,560.0,375000.0,castironskillet
18,Doggo,128,0,2700.0,61000.0,209944383373686
19,Cheap Cars for Sale by Owner,127,0,710.0,292000.0,CheapCarsforSalebyOwner
20,The Far Side,125,5,18000.0,172000.0,franksthefarside
21,Relationship Love Quotes,125,0,60.0,193000.0,1673727879506684
22,"Candace Owens For POTUS, 2024",125,0,40.0,58000.0,947518145661250
23,Dogspotting,124,7,2200.0,1800000.0,dogspotting
24,Positive Quotes,120,14,86000.0,1900000.0,vibeswithquotes
25,Tucker Carlson Fox News,118,0,5000.0,58000.0,178197966731647
26,Instant Pot Recipes Only,114,2,200.0,1300000.0,iproinstantpotrecipesonly
27,Our Relationship Rules,113,0,9.0,12000.0,1556129071349255
28,Funny Christmas Memes!,112,1,16000.0,41000.0,1736565846669665
29,Love Quotes,108,0,20.0,20000.0,dailybestquotes
30,ALDI Aisle of Shame Community,107,3,4200.0,412000.0,aldiaisleofshame
31,Funny Huskies,105,1,3000.0,80000.0,446189602763629
32,So in Love,105,0,260.0,38000.0,947903761936913
33,Cool Dog Group,103,1,380.0,770000.0,cooldogpictures
34,Steve Schmidt fan club,102,3,210.0,55000.0,2645436679003881
35,Star Trek Memes,99,4,10000.0,197000.0,337634486811277
36,❤️Love Life  ❤️,99,0,200.0,378000.0,1776625369264636
37,FreebieShark's Official Group,95,3,20.0,36000.0,355345221879011
38,Relationship Goals 💗,94,0,8900.0,982000.0,relationshipsandgoals
39,Amazing World,92,0,1000.0,182000.0,AmazingAnimalsAndBeautifulNature
40,TRUE LOVE STORY,91,0,80.0,375000.0,186097875088248
41,Patriot Room (formerly Leo Terrell 2.0),91,0,3500.0,19000.0,863804630824684
42,Rate My Dog,90,0,10.0,90000.0,happypitbull
43,Dhar Mann Official FAN page- Asia/Middle East/Europe/Africa,90,1,2300.0,177000.0,715765915844430
44,Dr. Fauci Fan Club,90,1,280.0,48000.0,540034209975584
45,Please show to Jim ! ! HA ! ! HA ! !,89,2,150.0,350000.0,pleaseshowtojimhaha
46,THIS CAT IS C H O N K Y,88,12,1900.0,854000.0,133018060894811
47,5-Minute Diy Arts & Crafts,87,0,680.0,1100000.0,429942787554685
48,Official Kayleigh McEnany page! No spam or trolls allowed this time!,86,0,530.0,30000.0,2809700542644044
49,Good Old Days,82,23,41000.0,466000.0,goodoldday
50,Calvin and Hobbes Ride Again,82,7,7000.0,200000.0,1951125591822299
51,In The Kitchen With EmmyMade,82,0,120.0,117000.0,343755586608448
52,Dogspotting Society,81,11,14000.0,1000000.0,DogspottingSociety
53,Extreme Love Group,79,0,10.0,107000.0,921620331341198
54,Win The Win,79,0,10000.0,56000.0,winthewin
55,Feisty Soul Tribe ~ The Group,78,8,40000.0,552000.0,1162197647167305
56,Relationship quotes,78,1,21000.0,559000.0,652804825212215
57,"Art, Crafts & DIY",78,0,2300.0,1200000.0,448418102231723
58,DIY Farmhouse Vintage Shabby Chic (Original),78,0,310.0,367000.0,diyfarmhousevintageshabbychic
59,DEAR EX-BOYFRIEND/GIRLFRIEND,77,0,10.0,14000.0,dearexboyfriend.girlfriend
60,Funny sarcastic grandma,77,6,28000.0,110000.0,215813539335011
61,RELATIONSHIP & DATING TIPS,77,0,5900.0,2200000.0,1394144950809418
62,Lincoln Project Americans Protecting Democracy,76,3,2000.0,33000.0,2363529640618134
63,LAUGH WITH  AUNTY ACID- MAXINE,76,0,38000.0,343000.0,372156643502092
64,Positive and Motivational Quotes about Everything,76,0,290.0,109000.0,ralph.okereke
65,LOVE QUOTE AND UPDATE,75,0,60.0,373000.0,lovequotesandup
66,Turner Classic Movies For Fans!,75,2,1900.0,153000.0,TCMforFans
67,Moments of love,75,0,20.0,4300000.0,427300884733797
68,Relationship Memes,74,3,81000.0,1300000.0,745781992655123
69,Relationship Advice,74,0,10.0,26000.0,1071326686313255
70,"Primer & Rust, Rats & Rods",74,0,1500.0,220000.0,413512055514755
71,Love & Relationships,74,0,240.0,58000.0,253339635206890
72,Love My Husband Quotes,72,0,10.0,47000.0,LoveMyHusbandQuotes
73,Dogs and puppies for rehoming near me,72,0,360.0,248000.0,523989585012486
74,💞🐶 Dachshund Love 🐶💞,72,0,330.0,154000.0,615798308836950
75,Grand Larsony,72,3,6800.0,92000.0,1661863323971577
76,Ibotta's Saver Community,70,2,40.0,14000.0,489979948525993
77,Joe BIDEN POTUS 46 Official,70,0,750.0,16000.0,264505438307329
78,Funny Trump Memes,70,0,1300.0,5900.0,371172480674337
79,Nail Maintenance for Dogs,69,0,,,nail.maintenance.for.dogs
80,Golden Retriever Club,67,2,12000.0,261000.0,thegoldenscom
81,Heartbroken Quotes,67,0,170.0,343000.0,HeartbrokenHeartbreak
82,Chevy Trucks For Sale,66,0,910.0,209000.0,chevypartsandtrucksforsale
83,Dog Missing / Pet Lost & Found Alert Group,66,1,580.0,80000.0,198089680645
84,Crockpot/Slow Cooker Recipes & Tips,65,0,1700.0,916000.0,Slowcooker786
85,"Antique, Classic and Muscle Cars (For Sale Group)",65,0,650.0,168000.0,383734698489569
86,Last Week Tonight with John Oliver,64,1,100.0,49000.0,1003058063051602
87,Only The Hilarious,64,0,290.0,1000000.0,1576329699361266
88,The Hudson Valley in pictures,64,0,2800.0,97000.0,765048086878344
89,Husband and Wife love zone,64,0,20.0,42000.0,familyquotesandsayings
90,Cars For Sale In Nj,63,0,5300.0,85000.0,1413799648841377
91,Old Images of New York Group,62,1,20.0,52000.0,oldimagesofNY
92,Fun & Funny Christmas Memes,62,1,640.0,28000.0,498054400978508
93,Slaton Sisters for All,61,0,80.0,49000.0,737703987068978
94,Eastern Shore Boat and Marine Stuff,61,0,320.0,43000.0,217548428349516
95,True Love Matters,60,0,6.0,8200.0,2026492397668060
96,A Group Where We Pretend its 2009-2012,60,0,350.0,228000.0,660106451492374
97,Granny's Funnies and sarcasm the ,60,2,20000.0,292000.0,647446535746114
98,Only Thai Food Recipes,60,0,130.0,697000.0,579373962860300
99,Science Humor,59,18,29000.0,995000.0,sciencehumor
100,Candace Owens 2024 🇺🇸,59,0,430.0,39000.0,2601769136807206
